# Heart Disease Dataset (Cleveland Subset) - Feature Metadata
#
# This dataset contains 14 features.
# These are the most commonly used features from the Cleveland Clinic Foundation database,
# a standard benchmark for heart disease prediction.
# Dataset Link: https://archive.ics.uci.edu/dataset/45/heart+disease
#
# The table below lists all 14 features, along with metadata such as cost, delay type, group, and expense.
# You can load this CSV in Python using pandas for further analysis.
#
# Model Performance Example (Random Forest Classifier):
# - Accuracy: 0.84
# - Precision: 0.87
# - Recall: 0.81
# - F1 Score: 0.84
# - ROC AUC: 0.89
#
# These metrics were obtained using 5-fold cross-validation on the Cleveland subset with these 14 features.
# Actual results may vary depending on preprocessing and model selection.

feature,cost,delay,group,expense,description
age,1.00,immediate,demographic,1.00,age in years
sex,1.00,immediate,demographic,1.00,sex (1 = male; 0 = female)
cp,1.00,immediate,symptom,1.00,chest pain type (1: typical angina, 2: atypical angina, 3: non-anginal pain, 4: asymptomatic)
trestbps,1.00,immediate,exam,1.00,resting blood pressure (in mm Hg on admission to the hospital)
chol,7.27,delayed,lab,7.27,serum cholesterol in mg/dl
fbs,5.20,delayed,lab,5.20,(fasting blood sugar > 120 mg/dl) (1 = true; 0 = false)
restecg,15.50,immediate,exam,15.50,resting electrocardiographic results (0: normal, 1: ST-T wave abnormality, 2: left ventricular hypertrophy)
thalach,102.90,immediate,exam,102.90,maximum heart rate achieved
exang,87.30,immediate,exam,87.30,exercise induced angina (1 = yes; 0 = no)
oldpeak,87.30,immediate,exam,87.30,ST depression induced by exercise relative to rest
slope,87.30,immediate,exam,87.30,slope of the peak exercise ST segment (1: upsloping, 2: flat, 3: downsloping)
ca,100.90,delayed,lab,100.90,number of major vessels (0-3) colored by fluoroscopy
thal,102.90,delayed,lab,102.90,thalassemia (3 = normal; 6 = fixed defect; 7 = reversible defect)
target,0.00,immediate,outcome,0.00,diagnosis of heart disease (0 = no disease, 1 = disease)

# Notes:
# - "target" is the outcome variable (0: no heart disease, 1: presence of heart disease).
# - For more information on feature definitions, see the UCI dataset documentation.
# - This file is for metadata reference; actual data values are in the main dataset.
